Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
,314,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD Imm - POS,315,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,316,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,317,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,318,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R - POS,319,,,,1,,,,0,0,0,0,,,1,,1,0,0,0,0,,
,320,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,321,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,322,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm - OFF,323,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,324,,,,,,1,1,,,,,,,,,,,,,,,
,325,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,326,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB R - OFF,327,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,328,,,,,,1,1,,,,,,,,,,,,,,,
,329,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,330,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm - PRE,331,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,332,,,,,,1,1,,,,,,,,,,,,,,,
,333,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,334,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB R - PRE,335,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,336,,,,,,1,1,,,,,,,,,,,,,,,
,337,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,338,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSB Imm - POS,339,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,340,,1,,,,1,1,0,0,,,1,0,1,,0,0,0,1,0,,
,341,,,,,1,1,1,,,,,,,,0,,,,,,0,0
,342,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
